epoch,Training Loss generator,Training Loss discriminator,Valid. Loss,Valid. Accur.,Training Time,Test Time
1,0.7186596868343131,2.4474600615889526,1.7806733846664429,0.13,0:00:11,0:00:01
2,0.7504912524722344,1.9905068784259086,1.791222095489502,0.13,0:00:10,0:00:01
3,0.7257393189640933,1.9993739342966745,1.8349621295928955,0.13,0:00:10,0:00:01
4,0.7171798750411632,1.9796313809794048,1.91806161403656,0.13,0:00:10,0:00:01
5,0.7146790221680043,2.0782198205936786,1.778790831565857,0.3,0:00:10,0:00:01
