epoch,Training Loss generator,Training Loss discriminator,Valid. Loss,Valid. Accur.,Training Time,Test Time
1,0.6388746073300188,2.836470364169641,1.8005917072296143,0.132,0:00:05,0:00:01
2,0.8000534705140374,2.4735720550472085,1.7184771299362183,0.156,0:00:05,0:00:01
3,0.7585501725023444,2.3400818570093675,1.7035902738571167,0.188,0:00:05,0:00:01
4,0.7377360706979578,2.2905949652194977,1.8117443323135376,0.13,0:00:05,0:00:01
5,0.7264083962548863,2.411660688844594,1.762260913848877,0.184,0:00:05,0:00:01
