epoch,Training Loss generator,Training Loss discriminator,Valid. Loss,Valid. Accur.,Training Time,Test Time
1,0.4260066198675256,3.5403402981005216,1.7853801250457764,0.13,0:00:02,0:00:01
2,0.7877805672193828,2.584533829438059,1.7178325653076172,0.13,0:00:02,0:00:01
3,0.8740703745892173,2.3231335721517863,1.7370200157165527,0.13,0:00:02,0:00:01
4,0.749551468773892,2.542615438762464,1.687839150428772,0.258,0:00:02,0:00:01
5,0.7655138091037148,2.5035280051984286,1.7372748851776123,0.13,0:00:02,0:00:01
