epoch,Training Loss generator,Training Loss discriminator,Valid. Loss,Valid. Accur.,Training Time,Test Time
1,0.7182240399510361,2.44054800757142,1.7891846895217896,0.13,0:00:10,0:00:01
2,0.7506592239058295,1.987717377585034,1.7849905490875244,0.13,0:00:10,0:00:01
3,0.7257288015165995,1.9996726485185845,1.8320831060409546,0.13,0:00:10,0:00:01
4,0.7170492563136789,1.9821389567020327,1.9073318243026733,0.13,0:00:10,0:00:01
5,0.7143135597539503,2.0801704685355342,1.769183874130249,0.326,0:00:10,0:00:01
